,559677708,559677718,707068881,802234444,936615406
G06002100101001,,16.37,18.91,16.35,19.12
G06002100101002,,17.36,18.38,17.34,20.35
G06002100101003,,16.14,17.37,16.13,19.36
G06002100101004,,15.61,17.97,15.59,18.61
G06002100102001,,17.3,19.85,17.04,19.04
G06002100102002,,19.5,22.02,19.31,21.65
G06002100102003,,18.72,14.37,18.71,21.97
G06002100102004,,14.3,15.83,14.28,17.51
G06002100103001,29.48,29.15,,28.65,25.25
G06002100103002,,7.48,7.1,7.46,10.86
G06002100103003,,29.28,40.82,28.78,25.38
G06002100104001,1.44,1.41,,1.4,5.86
G06002100104002,1.53,1.5,,0.71,4.86
G06002100104003,2.31,1.98,,1.48,3.94
G06002100104004,2.43,2.1,,1.6,4.06
G06002100104005,0.71,0.37,,0.47,5.54
G06002100104006,0.34,0.37,,0.84,5.9
G06002100104007,1.23,1.56,,2.4,7.43
G06002100105011,,25.14,13.44,25.13,28.56
G06002100105012,,24.38,17.03,24.36,27.55
G06002100105013,,22.9,11.01,22.88,26.32
G06002100105021,12.59,12.92,,13.76,18.22
G06002100105022,13.38,13.35,2.32,13.34,
