,371376443,637278361,694395827,704417257,738713080,965454812
G06003300001001,,29.92,17.51,10.58,2.48,25.98
G06003300001002,,44.41,32.0,25.26,15.71,42.21
G06003300003001,,23.16,10.74,4.63,13.01,30.26
G06003300003002,,23.89,11.48,4.55,6.56,27.51
G06003300004001,,20.55,8.14,1.24,10.61,27.65
G06003300004002,,19.54,7.13,0.23,10.51,26.64
G06003300004003,,18.49,6.08,1.04,11.5,25.59
G06003300004004,,20.49,8.07,1.15,9.43,27.59
G06003300004005,,21.43,9.01,2.08,8.83,28.52
G06003300005011,,30.99,18.57,11.65,7.24,19.76
G06003300005012,,29.18,21.93,15.0,10.59,16.53
G06003300005013,,41.2,32.03,25.11,20.7,28.55
G06003300005021,,30.81,18.39,11.47,7.06,20.11
G06003300005022,,28.04,15.63,8.7,4.47,23.16
G06003300006001,,25.01,27.97,21.05,16.64,12.36
G06003300006002,,21.41,27.32,22.95,18.55,8.76
G06003300006003,,20.05,25.96,24.87,20.47,7.4
G06003300006004,,21.06,26.96,32.21,27.8,7.43
G06003300006005,,38.6,44.5,49.08,44.68,26.4
G06003300007011,19.91,16.42,22.33,28.93,,3.05
G06003300007012,19.48,15.99,21.9,28.5,,2.37
G06003300007021,16.25,12.76,18.67,25.27,,2.04
G06003300007022,15.06,11.57,17.48,24.08,,3.49
G06003300007023,27.92,24.44,30.34,34.92,,12.24
G06003300008011,15.56,12.07,17.98,24.59,,1.93
G06003300008012,15.55,12.06,17.97,24.58,,2.35
G06003300008021,16.89,13.41,19.31,25.92,,0.87
G06003300008022,17.37,13.89,19.79,26.4,,1.35
G06003300008023,16.83,13.35,19.25,25.86,,0.99
G06003300009001,13.65,10.31,11.44,18.05,,11.44
G06003300009002,15.04,11.71,9.67,14.11,,15.82
G06003300009003,18.92,16.25,5.89,10.33,,20.36
G06003300010001,19.67,18.56,6.89,10.0,,25.66
G06003300010002,,17.27,4.86,4.97,15.38,24.37
G06003300010003,,14.72,2.08,6.18,16.58,21.81
G06003300010004,18.35,17.24,4.83,6.73,,24.34
G06003300010005,12.53,11.7,2.06,8.64,,18.8
G06003300010006,14.31,13.2,0.63,7.21,,20.3
G06003300011001,7.91,11.09,19.16,25.77,,24.75
G06003300011002,5.95,5.96,7.89,14.5,,17.3
G06003300012001,30.33,26.84,32.75,37.33,,14.64
G06003300012002,26.9,23.41,29.32,35.92,,18.67
G06003300012003,17.39,13.9,19.81,26.42,,9.16
G06003300013001,15.92,18.46,29.07,35.68,,24.67
G06003300013002,15.08,17.62,26.81,33.42,,16.17
G06003300013003,9.27,11.82,22.43,29.03,,20.73
G06003300013004,15.47,18.01,25.12,31.73,,14.48
G06003300013005,9.0,11.55,22.15,28.76,,24.41
