,691294172,691321804,691328070,691328080,740550608,863409028,863409043,897318698,94061902
G06003500401001,6.24,6.14,6.29,6.29,9.89,,74.81,76.98,6.21
G06003500401002,37.15,37.13,37.2,37.2,33.25,,63.81,63.62,37.18
G06003500401003,55.99,56.09,56.03,56.03,,50.62,46.36,48.52,56.01
G06003500402001,58.83,58.93,58.88,,62.73,26.59,23.27,23.07,58.86
G06003500402002,77.54,77.52,77.58,,73.64,28.68,25.35,25.16,77.57
G06003500402003,63.9,63.88,63.94,,60.0,30.3,26.98,26.78,63.93
G06003500403021,73.96,74.06,74.01,,77.86,3.7,8.42,6.78,73.99
G06003500403022,82.48,82.58,82.52,,84.8,7.91,10.57,9.94,82.5
G06003500403023,80.27,80.37,80.32,,82.6,7.66,8.37,7.74,80.3
G06003500403031,68.51,68.61,68.56,68.56,,14.34,9.15,11.32,68.54
G06003500403032,73.29,73.39,73.33,,77.11,4.44,1.38,0.92,73.31
G06003500403033,73.31,73.41,73.36,,76.59,5.0,1.41,1.48,73.34
G06003500403041,73.85,73.94,73.89,,76.23,5.0,1.94,1.48,73.87
G06003500403042,74.16,74.26,74.21,,77.1,4.71,2.26,1.3,74.19
G06003500403051,72.66,72.76,72.71,,76.56,6.84,1.67,3.55,72.69
G06003500403052,73.57,73.67,73.62,,76.22,5.29,1.67,1.77,73.6
G06003500403053,75.34,75.44,75.39,,74.93,6.76,3.43,3.24,75.37
G06003500404001,78.86,78.96,78.91,78.91,,12.1,15.43,13.79,78.89
G06003500404002,71.59,71.69,71.64,71.64,,6.12,9.38,7.74,71.62
G06003500405001,80.16,80.26,80.21,,84.06,6.47,11.19,9.35,80.19
G06003500405002,85.59,85.69,85.64,,89.49,13.22,17.94,16.09,85.62
G06003500405003,81.12,81.22,81.16,,85.02,7.43,12.15,10.31,81.15
G06003500406001,109.89,109.99,109.94,109.94,,39.28,44.0,42.16,109.92
G06003500406002,100.5,100.6,100.54,100.54,,32.91,37.06,35.42,100.52
G06003500406003,118.45,118.55,118.5,,122.35,46.08,50.81,48.96,118.48
